time(s),surface angle(deg),rotor speed(rad/s),ranging distance(m),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
0.2273,0,0,0.045,2.33999,5.33999,62.66999,0.06599,-0.4,-0.20099
0.2283,0,0,0.045,2.33999,5.33999,62.66999,0.06599,-0.4,-0.20099
0.2293,0,0,0.045,2.33999,5.33999,62.66999,0.06599,-0.4,-0.20099
0.2303,0,0,0.045,2.40999,5.35999,62.68999,0.064,-0.40199,-0.2
0.2313,0,0,0.045,2.40999,5.35999,62.68999,0.064,-0.40199,-0.2
0.2323,0,0,0.045,2.40999,5.35999,62.68999,0.064,-0.40199,-0.2
0.2333,0,0,0.045,2.40999,5.35999,62.68999,0.064,-0.40199,-0.2
0.23429,0,0,0.045,2.40999,5.35999,62.68999,0.064,-0.40199,-0.2
0.2353,0,0,0.045,2.40999,5.35999,62.68999,0.064,-0.40199,-0.2
0.2363,0,0,0.045,2.40999,5.35999,62.68999,0.064,-0.40199,-0.2
0.2373,0,0,0.045,2.40999,5.35999,62.68999,0.064,-0.40199,-0.2
0.23829,0,0,0.045,2.40999,5.35999,62.68999,0.064,-0.40199,-0.2
0.23931,0,0,0.045,2.40999,5.35999,62.68999,0.064,-0.40199,-0.2
0.2403,0,0,0.045,2.31999,5.35999,62.63999,0.064,-0.401,-0.2
0.2413,0,0,0.045,2.31999,5.35999,62.63999,0.064,-0.401,-0.2
0.2423,0,0,0.045,2.31999,5.35999,62.63999,0.064,-0.401,-0.2
0.2433,0,0,0.045,2.31999,5.35999,62.63999,0.064,-0.401,-0.2
0.2443,0,0,0.045,2.31999,5.35999,62.63999,0.064,-0.401,-0.2
0.2453,0,0,0.045,2.31999,5.35999,62.63999,0.064,-0.401,-0.2
0.2463,0,0,0.045,2.31999,5.35999,62.63999,0.064,-0.401,-0.2
0.2473,0,0,0.045,2.31999,5.35999,62.63999,0.064,-0.401,-0.2
0.2483,0,0,0.045,2.31999,5.35999,62.63999,0.064,-0.401,-0.2
0.2493,0,0,0.045,2.31999,5.35999,62.63999,0.064,-0.401,-0.2
0.2503,0,0,0.045,2.34999,5.36999,62.63999,0.065,-0.399,-0.20099
0.2513,0,0,0.045,2.34999,5.36999,62.63999,0.065,-0.399,-0.20099
0.2523,0,0,0.045,2.34999,5.36999,62.63999,0.065,-0.399,-0.20099
0.2533,0,0,0.045,2.34999,5.36999,62.63999,0.065,-0.399,-0.20099
0.25429,0,0,0.045,2.34999,5.36999,62.63999,0.065,-0.399,-0.20099
0.25529,0,0,0.045,2.34999,5.36999,62.63999,0.065,-0.399,-0.20099
0.2563,0,0,0.045,2.34999,5.36999,62.63999,0.065,-0.399,-0.20099
0.2573,0,0,0.045,2.34999,5.36999,62.63999,0.065,-0.399,-0.20099
0.2583,0,0,0.045,2.34999,5.36999,62.63999,0.065,-0.399,-0.20099
0.2593,0,0,0.045,2.34999,5.36999,62.63999,0.065,-0.399,-0.20099
0.2603,0,0,0.045,2.34999,5.36999,62.63999,0.065,-0.399,-0.20099
0.2613,0,0,0.045,2.34999,5.36999,62.63999,0.065,-0.399,-0.20099
0.2623,0,0,0.045,2.34999,5.36999,62.63999,0.065,-0.399,-0.20099
0.26329,0,0,0.045,2.34999,5.36999,62.63999,0.065,-0.399,-0.20099
0.26429,0,0,0.045,2.34999,5.36999,62.63999,0.065,-0.399,-0.20099
0.2653,0,0,0.045,2.34999,5.36999,62.63999,0.065,-0.399,-0.20099
0.2663,0,0,0.045,2.34999,5.36999,62.63999,0.065,-0.399,-0.20099
0.2673,0,0,0.045,2.34999,5.36999,62.63999,0.065,-0.399,-0.20099
0.2683,0,0,0.045,2.34999,5.36999,62.63999,0.065,-0.399,-0.20099
0.2693,0,0,0.045,2.34999,5.36999,62.63999,0.065,-0.399,-0.20099
0.2703,0,0,0.045,2.33999,5.28999,62.75999,0.065,-0.399,-0.2
0.2713,0,0,0.045,2.33999,5.28999,62.75999,0.065,-0.399,-0.2
0.2723,0,0,0.045,2.33999,5.28999,62.75999,0.065,-0.399,-0.2
0.27329,0,0,0.045,2.33999,5.28999,62.75999,0.065,-0.399,-0.2
0.2743,0,0,0.045,2.33999,5.28999,62.75999,0.065,-0.399,-0.2
0.2753,0,0,0.045,2.33999,5.28999,62.75999,0.065,-0.399,-0.2
0.2763,0,0,0.045,2.33999,5.28999,62.75999,0.065,-0.399,-0.2
0.2773,0,0,0.045,2.33999,5.28999,62.75999,0.065,-0.399,-0.2
0.27829,0,0,0.045,2.33999,5.28999,62.75999,0.065,-0.399,-0.2
0.2793,0,0,0.045,2.33999,5.28999,62.75999,0.065,-0.399,-0.2
0.28029,0,0,0.045,2.34999,5.34999,62.79999,0.065,-0.4,-0.2
0.2813,0,0,0.045,2.34999,5.34999,62.79999,0.065,-0.4,-0.2
0.2823,0,0,0.045,2.34999,5.34999,62.79999,0.065,-0.4,-0.2
0.2833,0,0,0.045,2.34999,5.34999,62.79999,0.065,-0.4,-0.2
0.28429,0,0,0.045,2.34999,5.34999,62.79999,0.065,-0.4,-0.2
0.2853,0,0,0.045,2.34999,5.34999,62.79999,0.065,-0.4,-0.2
0.2863,0,0,0.045,2.34999,5.34999,62.79999,0.065,-0.4,-0.2
0.2873,0,0,0.045,2.34999,5.34999,62.79999,0.065,-0.4,-0.2
0.2883,0,0,0.045,2.34999,5.34999,62.79999,0.065,-0.4,-0.2
0.2893,0,0,0.04599,2.34999,5.34999,62.79999,0.065,-0.4,-0.2
0.2903,0,0,0.04599,2.35999,5.36999,62.78999,0.065,-0.4,-0.199
0.2913,0,0,0.04599,2.35999,5.36999,62.78999,0.065,-0.4,-0.199
0.2923,0,0,0.04599,2.35999,5.36999,62.78999,0.065,-0.4,-0.199
0.2933,0,0,0.04599,2.35999,5.36999,62.78999,0.065,-0.4,-0.199
0.2943,0,0,0.04599,2.35999,5.36999,62.78999,0.065,-0.4,-0.199
0.29533,0,0,0.04599,2.35999,5.36999,62.78999,0.065,-0.4,-0.199
0.2963,0,0,0.04599,2.35999,5.36999,62.78999,0.065,-0.4,-0.199
0.2973,0,0,0.04599,2.35999,5.36999,62.78999,0.065,-0.4,-0.199
